,union.forces,union.shot,confederate.forces,confederate.shot,class,victor
Bull Run,28452,1492,33232,1969,A,confederate
Wilson's Creek,5400,944,11600,1157,A,confederate
Fort Donelson,27000,2608,21000,2000,A,union
Pea Ridge,11250,1183,14000,600,A,union
Shiloh,62682,10162,40355,9735,A,union
Williamsburg,40768,1866,31823,1570,A,inconclusive
Fair Oaks,41797,4384,41816,5729,C,confederate
Mechanicsville,15631,256,16356,1484,B,union
Gaines's Mill,34214,4001,57018,8751,A,confederate
Malvern Hill,83345,4969,86748,8602,A,union
Seven Days,91169,9796,95481,19739,B,inconclusive
Cedar Mountain,8030,1759,16868,1338,B,confederate
Manassas,75696,10096,48527,9108,B,confederate
"Richmond, Kentucky",6500,1050,6850,450,B,confederate
South Mountain,28480,1728,18714,1885,B,union
Antietam,75316,11657,51844,11724,A,inconclusive
Corinth,21147,2196,22000,2470,B,union
Perryville,36940,3696,16000,3145,A,inconclusive
Fredericksburg,100007,10884,72497,4656,A,confederate
Chickasaw Bayou,30720,1213,13792,197,B,confederate
Stone's River,41400,9220,34732,9239,A,union
Arkansas Post,28944,1032,4654,109,C,union
Chancellorsville,97382,11116,57352,10746,A,confederate
Champions Hill,29373,2254,20000,2181,A,union
Port Hudson I,13000,1838,4192,235,A,union
Port Hudson II,6000,1604,3487,47,A,union
Gettysburg,83289,17684,75054,22638,A,union
Fort Wagner,5264,1126,1785,169,B,confederate
Chicamauga,58222,11413,66326,16986,A,confederate
Chatanooga,56359,5475,46165,2521,A,union
Mine Run,69643,1272,44426,680,B,inconclusive
Olustee,5115,1355,5200,934,B,confederate
Pleasant Hill,12647,994,18025,2860,B,union
Drewry's Bluff,15800,2700,18025,2860,B,confederate
Atlanta I,110123,10528,66089,9187,B,union
Weldon Railroad,20289,1303,14787,1200,B,inconclusive
Kenesaw Mountain,16225,1999,17733,270,B,confederate
Tupelo,14000,636,18832,1326,B,union
Peach Tree Creek,20139,1600,18832,2500,B,union
Atlanta II,30477,1989,36934,7000,B,union
Atlanta III,13226,559,18450,4100,B,union
Jonesborough,14170,179,23811,1725,A,union
Winchester,37711,4680,17103,2103,A,confederate
Cedar Creek,30829,4074,18410,1860,A,union
Franklin,27939,1222,26897,5550,D,union
Bentonville,16127,933,16895,1508,A,union